iter	Passed	Remaining
0	155	155469
1	158	79022
2	160	53382
3	162	40490
4	164	32805
5	166	27639
6	169	24050
7	173	21529
8	175	19367
9	178	17643
10	180	16218
11	182	15022
12	184	14003
13	186	13146
14	188	12397
15	191	11770
16	194	11217
17	196	10703
18	200	10363
19	202	9945
20	205	9581
21	207	9243
22	210	8926
23	212	8625
24	216	8430
25	218	8188
26	222	8010
27	224	7793
28	226	7589
29	231	7474
30	233	7295
31	236	7159
32	238	7001
33	241	6854
34	246	6784
35	248	6656
36	251	6536
37	253	6424
38	255	6306
39	261	6279
40	263	6168
41	266	6084
42	269	5988
43	272	5914
44	275	5838
45	277	5762
46	280	5680
47	282	5605
48	287	5583
49	296	5640
50	316	5888
51	320	5845
52	325	5814
53	330	5794
54	334	5754
55	338	5705
56	340	5636
57	343	5578
58	349	5567
59	352	5523
60	355	5466
61	357	5408
62	360	5356
63	362	5306
64	366	5270
65	369	5223
66	371	5170
67	374	5129
68	377	5096
69	380	5058
70	383	5020
71	386	4977
72	389	4943
73	392	4913
74	395	4875
75	398	4842
76	400	4802
77	403	4768
78	406	4734
79	410	4716
80	413	4688
81	416	4660
82	417	4613
83	426	4652
84	431	4644
85	434	4616
86	437	4595
87	440	4563
88	443	4536
89	445	4507
90	448	4477
91	451	4451
92	453	4425
93	456	4396
94	458	4367
95	460	4339
96	463	4313
97	466	4295
98	469	4270
99	471	4242
100	473	4215
101	475	4188
102	477	4162
103	480	4140
104	483	4118
105	485	4095
106	488	4072
107	489	4046
108	492	4022
109	493	3996
110	496	3976
111	498	3952
112	500	3928
113	502	3907
114	504	3885
115	507	3865
116	508	3840
117	511	3820
118	513	3802
119	515	3782
120	517	3761
121	519	3738
122	521	3717
123	523	3701
124	526	3683
125	528	3666
126	530	3645
127	532	3629
128	535	3616
129	539	3607
130	541	3592
131	544	3578
132	546	3565
133	549	3549
134	552	3539
135	555	3528
136	557	3511
137	559	3496
138	561	3479
139	563	3464
140	566	3452
141	568	3432
142	570	3417
143	572	3403
144	575	3393
145	577	3379
146	579	3363
147	581	3349
148	583	3334
149	585	3319
150	588	3306
151	590	3294
152	592	3279
153	594	3267
154	596	3254
155	599	3241
156	601	3231
157	604	3219
158	606	3206
159	608	3194
160	609	3178
161	611	3165
162	614	3153
163	616	3141
164	618	3129
165	620	3117
166	622	3104
167	626	3101
168	628	3092
169	631	3083
170	634	3075
171	636	3065
172	640	3060
173	642	3050
174	644	3040
175	647	3029
176	649	3019
177	652	3011
178	654	3001
179	656	2989
180	658	2979
181	660	2968
182	662	2958
183	664	2947
